seed,condition,task,assisted,mf_start,summed_activation,pearson_r,goal,final_angle
0,B,11,1,0.6996705316564453,86.83544332236083,0.5398794297321151,0,0.7324394906356915
0,B,12,1,0.6982317675310975,74.981508871694,0.7122404468176786,1,2.1412172369235174
0,B,13,1,0.6912240914129496,88.92844000647472,0.538668894070064,0,0.7252177224316996
0,B,14,1,0.6899045828457613,75.02162009782931,0.6702229286866596,1,2.136766464249027
0,B,15,1,0.6843538682435072,90.60923703564532,0.5897284671245906,0,0.8587476994563755
0,B,16,1,0.6831301161342389,86.94196116205897,0.556696885523518,0,0.8291217760769386
0,B,17,1,0.6856429979564741,85.41748738623721,0.56746223425213,0,0.8322627944564785
0,B,18,1,0.688108965678841,74.792136783933,0.6180988838726723,1,2.1303372387443242
0,B,19,1,0.6836066763288212,88.38724862988086,0.5537284776707625,0,0.816529043734338
0,B,20,1,0.6823944186126027,84.82080797881393,0.531843538653706,0,0.6825721279719119
0,B,21,1,0.6848428202332988,83.3349785760099,0.5279519315923502,0,0.6587184184753394
0,B,22,1,0.6872454998681389,76.1199092136643,0.7130681476786416,1,2.141334626817823
0,B,23,1,0.6803021484997508,87.63540321592185,0.5275040044761639,0,0.6562884119531701
0,B,24,1,0.6790905634273695,78.19237586534854,0.5921504959358355,1,2.1257296544840187
0,B,25,1,0.6766262296004936,78.39337306704753,0.6774257917314754,1,2.137641120282749
0,B,26,1,0.6689976116566864,90.67103009089546,0.5581804732301314,0,0.8330914139998338
0,B,27,1,0.6679472415195339,77.49517758832485,0.59713845612135,1,2.1275361835119493
0,B,28,1,0.6641027365164368,79.63268410403656,0.676376894522383,1,2.137509300712551
0,B,29,1,0.6567899530178218,94.24370952845929,0.5325242721130735,0,0.6877883524280479
0,B,30,1,0.6559172372405581,90.48535948381448,0.5334858912841617,0,0.6934942258102776
0,B,31,1,0.6585431888939388,76.25338368756591,0.6253778403470561,1,1.714018198391738
0,B,32,1,0.6586065535251762,88.15578198241091,0.5268709090685815,0,0.6526977893908404
0,B,33,1,0.6603116577795322,84.93915455051014,0.6269903122837771,0,1.1253024687695659
0,B,34,1,0.6613433974549293,85.37754290890005,0.5471149225606015,0,0.7777229731048616
0,B,35,1,0.663812717573259,83.88157090773174,0.5629464177287434,0,0.834332815128713
0,B,36,1,0.6662360020449468,82.41285421852265,0.5311241177398037,0,0.677688780032196
0,B,37,1,0.6686140917004925,80.97089745747677,0.6004474898943997,0,0.8976672282669499
0,B,38,1,0.6709478120159278,79.55521369183299,0.5330121759449684,0,0.6888274387382525
0,B,39,1,0.6732379733933241,78.16532547795317,0.5342022740742786,0,0.6959281132206739
0,B,40,1,0.6754853714360555,76.80076389012241,0.559557912489511,0,0.8329492112383637
0,B,41,1,0.6776907872190373,75.46106849297549,0.603437267291683,0,0.9124352112762776
0,B,42,1,0.679854987554028,74.14578679482928,0.5527384537110441,0,0.8085193236954193
0,B,43,1,0.6819787252500875,74.71198688407303,0.6281633148755847,1,2.132129266441587
0,B,44,1,0.6767757338445394,77.93694599901696,0.5638404378256281,0,0.8331447853191151
0,B,45,1,0.6755206623793613,76.40355369590829,0.6726881957247991,1,2.137408169653824
0,B,46,1,0.669593795328001,78.99470075969626,0.6429184065039557,1,2.133934326594652
0,B,47,1,0.6621137114630402,83.32843496669356,0.5392693860674169,0,0.7280227487368881
0,B,48,1,0.661028673208902,78.00036295129759,0.6731987873189976,1,2.137435817023827
0,B,49,1,0.6553817568282504,82.43711394735767,0.6323815024195532,0,1.282114156475646
0,B,50,1,0.6527982180724212,82.11440722729012,0.5512443563229316,0,0.8021414091781999
0,B,51,1,0.6551697422251358,80.67788722233009,0.5931028514583911,0,0.869082648984981
0,B,52,1,0.6574970642924006,79.2238541049525,0.6853501187086859,1,2.1388379659893384
0,B,53,1,0.6515080701663098,84.94708805712622,0.5444596567312856,0,0.7608851619398007
0,B,54,1,0.6505634788508771,81.31477901873232,0.5414461676696575,0,0.7416989577210708
0,B,55,1,0.6529110660541959,79.89282863876404,0.5269984325175858,0,0.6525781856811459
